PLACA;DEPARTAMENTO;CIUDAD;SERVICIO
OCK419;VALLE;CANDELARIA;OFICIAL
RCK416;ATLANTICO;BARRANQUILLA;PARTICULAR
UDK414;BOLIVAR;MAGANGUE;PUBLICO
IEK411;ANTIOQUIA;TURBO;PARTICULAR
REK414;VALLE;CALI;PARTICULAR
TEK411;HUILA;BARAYA;PUBLICO
DFK415;CALDAS;LA DORADA;PARTICULAR
EFK415;TOLIMA;ESPINAL;PARTICULAR
PGK415;PUTUMAYO;PUERTO ASIS;PARTICULAR
RHK415;ANTIOQUIA;RIONEGRO;PARTICULAR
RHK417;ANTIOQUIA;RIONEGRO;PARTICULAR
SIK411;MAGDALENA;CIENAGA;PUBLICO
DJK412;CALDAS;LA DORADA;PARTICULAR
DJK416;CALDAS;LA DORADA;PARTICULAR
DJK418;CALDAS;LA DORADA;PARTICULAR
RJK418;VALLE;ROLDANILLO;PARTICULAR
RKK416;VALLE;ROLDANILLO;PARTICULAR
JMK415;TOLIMA;GUAYABAL;PARTICULAR
NMK415;VALLE;BUENAVENTURA;PARTICULAR
SMK410;CUNDINAMARCA;MOSQUERA;PUBLICO
SMK411;CUNDINAMARCA;MOSQUERA;PUBLICO
SMK412;CUNDINAMARCA;MOSQUERA;PUBLICO
DNK411;CALDAS;LA DORADA;PARTICULAR
ENK410;TOLIMA;ESPINAL;PARTICULAR
MNK411;BOYACA;MONIQUIRA;PARTICULAR
VOK417;VALLE;FLORIDA;PUBLICO
DTK412;BOYACA;DUITAMA;PARTICULAR
DVK412;INT DEL CAQU;EL PAUJIL;PARTICULAR
JVK410;HUILA;NEIVA;PARTICULAR
MVK416;CALDAS;MANIZALES;PARTICULAR
BWK414;ANTIOQUIA;SABANETA;PARTICULAR
SWK415;CAUCA;POPAYAN;PUBLICO
FYK415;CUNDINAMARCA;FACATATIVA;PARTICULAR
FYK417;CUNDINAMARCA;FACATATIVA;PARTICULAR
TAL417;ANTIOQUIA;MEDELLIN;PUBLICO
WAL413;CALDAS;MANIZALES;PUBLICO
DBL415;CALDAS;LA DORADA;PARTICULAR
DCL415;CALDAS;LA DORADA;PARTICULAR
HDL411;CALDAS;CHINCHINA;PARTICULAR
NEL414;VALLE;PALMIRA;PARTICULAR
VEL418;CALDAS;VILLAMARIA;PUBLICO
KFL415;ANTIOQUIA;MEDELLIN;PARTICULAR
QHL415;CUNDINAMARCA;CHIA;PARTICULAR
RHL417;ANTIOQUIA;RIONEGRO;PARTICULAR
DJL419;CALDAS;LA DORADA;PARTICULAR
IJL419;NARINO;TUQUERRES;PARTICULAR
GLL415;CUNDINAMARCA;GIRARDOT;PARTICULAR
ILL419;NARINO;IPIALES;PARTICULAR
