PLACA;DEPARTAMENTO;CIUDAD;SERVICIO
DYR969;ANTIOQUIA;STA ROSAD O;PARTICULAR
THK515;ANTIOQUIA;MEDELLIN;PUBLICO
CLO894;QUINDIO;CIRCASIA;PARTICULAR
OFN219;SANTANDER;FLORIDABLANC;OFICIAL
OJV881;ANTIOQUIA;BELLO;OFICIAL
MQJ140;TOLIMA;MARIQUITA;PARTICULAR
SDO393;ATLANTICO;SOLEDAD;PUBLICO
GKB905;CUNDINAMARCA;VILLETA;PARTICULAR
DUE927;CESAR;VALLEDUPAR;PARTICULAR
SHK235;CAUCA;PATIA(ELBOR;PUBLICO
TRI108;BOYACA;MIRAFLORES;PUBLICO
BLM947;BOLIVAR;TURBACO;PARTICULAR
NOT975;VALLE;TULUA;PARTICULAR
SFW441;CAUCA;PATIA(ELBOR;PUBLICO
OBJ518;VALLE;JAMUNDI;OFICIAL
BGF405;BOLIVAR;TURBACO;PARTICULAR
BMV026;BOLIVAR;TURBACO;PARTICULAR
TCL420;NARINO;TUQUERRES;PUBLICO
EKL663;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
BML680;BOLIVAR;TURBACO;PARTICULAR
COO353;BOYACA;COMBITA;PARTICULAR
LDD484;CESAR;VALLEDUPAR;PARTICULAR
DUD364;CESAR;VALLEDUPAR;PARTICULAR
BGU131;BOLIVAR;TURBACO;PARTICULAR
XIC957;BOYACA;DUITAMA;PUBLICO
UWQ799;CESAR;AGUACHICA;PUBLICO
BGZ679;BOLIVAR;TURBACO;PARTICULAR
JAT577;BOYACA;GUATEQUE;PARTICULAR
SRX567;BOLIVAR;CLEMENCIA;PUBLICO
AVF253;ATLANTICO;SOLEDAD;PARTICULAR
CKU240;QUINDIO;CALARCA;PARTICULAR
ZGE305;SANTANDER;SAN GIL;PARTICULAR
BCL672;BOLIVAR;TURBACO;PARTICULAR
DUD570;CESAR;VALLEDUPAR;PARTICULAR
QFX078;ATLANTICO;BARRANQUILLA;PARTICULAR
OFQ956;SANTANDER;FLORIDABLANC;OFICIAL
BIO619;BOLIVAR;TURBACO;PARTICULAR
BPE043;BOLIVAR;TURBACO;PARTICULAR
VCN221;CALDAS;VILLAMARIA;PUBLICO
FEX786;CAQUETA;FLORENCIA;PARTICULAR
SKO580;ANTIOQUIA;LA CEJA;PUBLICO
CFW497;VALLE;CALI;PARTICULAR
BCO622;BOLIVAR;TURBACO;PARTICULAR
BIZ284;BOLIVAR;TURBACO;PARTICULAR
BJO802;BOLIVAR;TURBACO;PARTICULAR
ZIG972;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
AGD845;CALDAS;AGUADAS;PARTICULAR
BMV531;BOLIVAR;TURBACO;PARTICULAR
FEC726;CAQUETA;FLORENCIA;PARTICULAR
ZIP887;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
BJY601;BOLIVAR;TURBACO;PARTICULAR
OFZ448;VALLE;CAICEDONIA;OFICIAL
NAE218;VALLE;CALI;PARTICULAR
CHH502;ANTIOQUIA;CAUCASIA;PARTICULAR
BJS290;BOLIVAR;TURBACO;PARTICULAR
SAK872;CAUCA;POPAYAN;PUBLICO
UVM041;ATLANTICO;BARRANQUILLA;PUBLICO
DUD895;CESAR;VALLEDUPAR;PARTICULAR
UFW785;MAGDALENA;SANTA MARTA;PUBLICO
PNI258;CORDOBA;MONTERIA;PARTICULAR
ECW573;BOYACA;SABOYA;PARTICULAR
UFV606;MAGDALENA;SANTA MARTA;PUBLICO
LSK308;CUNDINAMARCA;VILLETA;PARTICULAR
BMF185;BOLIVAR;TURBACO;PARTICULAR
SYR271;NORTESANTAN;CUCUTA;PUBLICO
SNN385;CUNDINAMARCA;SOACHA;PUBLICO
BHB387;BOLIVAR;TURBACO;PARTICULAR
SNO367;CUNDINAMARCA;SOACHA;PUBLICO
GGP571;HUILA;TIMANA;PARTICULAR
DUB617;CESAR;VALLEDUPAR;PARTICULAR
DUE261;CESAR;VALLEDUPAR;PARTICULAR
FUE971;CUNDINAMARCA;MOSQUERA;PARTICULAR
BWU086;ANTIOQUIA;SABANETA;PARTICULAR
BCV193;BOLIVAR;TURBACO;PARTICULAR
DAT156;VALLE;CANDELARIA;PARTICULAR
NOT981;VALLE;TULUA;PARTICULAR
SKL600;BOYACA;COMBITA;PUBLICO
BPD155;BOLIVAR;TURBACO;PARTICULAR
IOK302;SANTANDER;SAN GIL;PARTICULAR
DUE060;CESAR;VALLEDUPAR;PARTICULAR
BMJ215;BOLIVAR;TURBACO;PARTICULAR
BKL136;BOLIVAR;TURBACO;PARTICULAR
ZGD530;SANTANDER;SAN GIL;PARTICULAR
XIB120;BOYACA;DUITAMA;PUBLICO
UFP776;MAGDALENA;SANTA MARTA;PUBLICO
RFT874;RISARALDA;LA VIRGINIA;PARTICULAR
BMF632;BOLIVAR;TURBACO;PARTICULAR
BMR309;BOLIVAR;TURBACO;PARTICULAR
CAS322;VALLE;CALI;PARTICULAR
COX281;CUNDINAMARCA;MINISTERIO T;PUBLICO
BPG509;BOLIVAR;TURBACO;PARTICULAR
SDQ038;CAUCA;S. QUILICHAO;PUBLICO
OUR467;BOLIVAR;MOMPOX;OFICIAL
CIO172;CUNDINAMARCA;CHIA;PARTICULAR
BLY202;BOLIVAR;TURBACO;PARTICULAR
CKK160;CORDOBA;CERETE;PARTICULAR
DUD249;CESAR;VALLEDUPAR;PARTICULAR
BWV755;ANTIOQUIA;SABANETA;PARTICULAR
BIX288;BOLIVAR;TURBACO;PARTICULAR
BCO962;BOLIVAR;TURBACO;PARTICULAR
EJC777;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
BUY631;BOLIVAR;TURBACO;PARTICULAR
IOK307;SANTANDER;SAN GIL;PARTICULAR
CAN929;VALLE;CALI;PARTICULAR
SAK721;CAUCA;POPAYAN;PUBLICO
BKR134;BOLIVAR;TURBACO;PARTICULAR
DVU976;CESAR;ROBLES (LA P;PARTICULAR
ZGA212;SANTANDER;SAN GIL;PARTICULAR
CSL185;BOLIVAR;ARJONA;PARTICULAR
BPE517;BOLIVAR;TURBACO;PARTICULAR
BAO615;BOLIVAR;TURBACO;PARTICULAR
OFS234;CUNDINAMARCA;UBATE;OFICIAL
SHK993;CAUCA;PATIA(ELBOR;PUBLICO
BNB526;BOLIVAR;TURBACO;PARTICULAR
BKF304;BOLIVAR;TURBACO;PARTICULAR
PNV053;CORDOBA;MONTERIA;PARTICULAR
AOG245;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
BVF886;BOLIVAR;TURBACO;PARTICULAR
BOX452;BOLIVAR;TURBACO;PARTICULAR
AOF055;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
ZOC419;RISARALDA;ST ROSA DCA;PARTICULAR
QGC118;ATLANTICO;BARRANQUILLA;PARTICULAR
HJJ130;CUNDINAMARCA;CHIA;PARTICULAR
EYK312;SANTANDER;S VICEN CHUC;PARTICULAR
MLT544;BOYACA;MONIQUIRA;PARTICULAR
VCL473;CALDAS;VILLAMARIA;PUBLICO
BDU933;BOLIVAR;TURBACO;PARTICULAR
BHX427;BOLIVAR;TURBACO;PARTICULAR
AJA378;BOGOTAD.E.;BOGOTA D.E.;PARTICULAR
LDI556;CESAR;VALLEDUPAR;PARTICULAR
BOQ517;BOLIVAR;TURBACO;PARTICULAR
BNK256;BOLIVAR;TURBACO;PARTICULAR
VCL442;CALDAS;VILLAMARIA;PUBLICO
BNS837;BOLIVAR;TURBACO;PARTICULAR
XID295;BOYACA;DUITAMA;PUBLICO
BEG686;BOLIVAR;TURBACO;PARTICULAR
XIC684;BOYACA;DUITAMA;PUBLICO
SKU332;BOYACA;NOBSA;PUBLICO
BNM129;BOLIVAR;TURBACO;PARTICULAR
BIH840;BOLIVAR;TURBACO;PARTICULAR
EWV757;CUNDINAMARCA;MOSQUERA;PARTICULAR
CRB529;BOLIVAR;CARMEN DEBO;PARTICULAR
OAY483;BOGOTAD.E.;BOGOTA D.E.;OFICIAL
MQP560;TOLIMA;MARIQUITA;PARTICULAR
ZGD485;SANTANDER;SAN GIL;PARTICULAR
ZIQ676;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
SNP869;CUNDINAMARCA;SOACHA;PUBLICO
XID729;BOYACA;DUITAMA;PUBLICO
VCK063;CALDAS;VILLAMARIA;PUBLICO
PEC748;TOLIMA;PURIFICACION;PARTICULAR
CHS646;ANTIOQUIA;CAUCASIA;PARTICULAR
BML209;BOLIVAR;TURBACO;PARTICULAR
SFQ406;CAUCA;PATIA(ELBOR;PUBLICO
VMZ453;VALLE;TULUA;PUBLICO
NVU849;NARINO;PASTO;PARTICULAR
BPT017;BOLIVAR;SAN JUANNEP;PARTICULAR
BNE231;BOLIVAR;TURBACO;PARTICULAR
BGU198;BOLIVAR;TURBACO;PARTICULAR
BLX512;BOLIVAR;TURBACO;PARTICULAR
QEG536;CAUCA;POPAYAN;PARTICULAR
SYS560;NORTESANTAN;CUCUTA;PUBLICO
BMY825;BOLIVAR;TURBACO;PARTICULAR
BCW076;BOLIVAR;TURBACO;PARTICULAR
THK420;ANTIOQUIA;MEDELLIN;PUBLICO
ZIY117;CUNDINAMARCA;ZIPAQUIRA;PARTICULAR
BGN238;BOLIVAR;TURBACO;PARTICULAR
IRE012;SANTANDER;SOCORRO;PARTICULAR
UFX491;MAGDALENA;SANTA MARTA;PUBLICO
MDD828;VALLE;CALI;PARTICULAR
BMV875;BOLIVAR;TURBACO;PARTICULAR
BKQ696;BOLIVAR;TURBACO;PARTICULAR
