RANGO_INICIAL;RANGO_FINAL;DEPARTAMENTO;CIUDAD;SERVICIO
ETU000;ETY999;ATLANTICO;GALAPA;PARTICULAR
EUM000;EUZ999;ATLANTICO;PUERTO COLOM;PARTICULAR
EVA000;EVJ999;CUNDINAMARCA;MOSQUERA;PARTICULAR
EVK000;EVZ999;ANTIOQUIA;ENVIGADO;PARTICULAR
EWA000;EWJ999;CUNDINAMARCA;MOSQUERA;PARTICULAR
EWK000;EWZ999;ANTIOQUIA;ENVIGADO;PARTICULAR
EXA000;EXJ999;CUNDINAMARCA;MOSQUERA;PARTICULAR
EXK000;EXS999;ATLANTICO;PUERTO COLOM;PARTICULAR
EYA000;EYC000;CUNDINAMARCA;UBATE;PARTICULAR
EYJ000;EYJ999;CUNDINAMARCA;UBATE;PARTICULAR
EYK000;EYQ999;ANTIOQUIA;LA CEJA;PARTICULAR
EYR000;EYV999;SANTANDER;S VICEN CHUC;PARTICULAR
FAA000;FAJ999;CUNDINAMARCA;SOACHA;PARTICULAR
FAK000;FAZ999;ANTIOQUIA;ENVIGADO;PARTICULAR
FBA000;FBJ999;CUNDINAMARCA;SOACHA;PARTICULAR
FBK000;FBM999;CUNDINAMARCA;FUSAGASUGA;PARTICULAR
FCA000;FCJ999;CUNDINAMARCA;SOACHA;PARTICULAR
FDA000;FDI200;CUNDINAMARCA;SOACHA;PARTICULAR
FDJ000;FDJ999;CUNDINAMARCA;SOACHA;PARTICULAR
FDK000;FDO999;TOLIMA;LIBANO;PARTICULAR
FDP000;FDT999;NORTESANTAN;VILLA ROSARI;PARTICULAR
FEA000;FGH499;CUNDINAMARCA;FUSAGASUGA;PARTICULAR
FLA000;FLC499;CAQUETA;FLORENCIA;PARTICULAR
FLE000;FLN999;SANTANDER;FLORIDABLANC;PARTICULAR
FLO000;FLZ999;VALLE;FLORIDA;PARTICULAR
FRA000;FRA999;TOLIMA;FRESNO;PARTICULAR
FSA000;FSJ999;CUNDINAMARCA;MOSQUERA;PARTICULAR
FTA000;FTJ999;CUNDINAMARCA;MOSQUERA;PARTICULAR
FTK000;FTZ999;CUNDINAMARCA;FACATATIVA;PARTICULAR
FUA000;FUE000;CUNDINAMARCA;MOSQUERA;PARTICULAR
FUE001;FUE500;CUNDINAMARCA;CHIA;PARTICULAR
FUE501;FUF700;CUNDINAMARCA;MOSQUERA;PARTICULAR
FUJ000;FUJ999;CUNDINAMARCA;MOSQUERA;PARTICULAR
GCA000;GCJ999;CUNDINAMARCA;FACATATIVA;PARTICULAR
GDA000;GDJ999;CUNDINAMARCA;FACATATIVA;PARTICULAR
GFW000;GFZ999;HUILA;BARAYA;PARTICULAR
GGA000;GGA999;BOYACA;MIRAFLORES;PARTICULAR
GGK000;GGO999;HUILA;PALERMO;PARTICULAR
GGP000;GGT999;HUILA;CAMPOALEGRE;PARTICULAR
GGU000;GGY999;HUILA;TIMANA;PARTICULAR
GIS000;GIZ999;SANTANDER;GIRON;PARTICULAR
GKA000;GKB000;CUNDINAMARCA;CAQUEZA;PARTICULAR
GKB001;GKB400;CUNDINAMARCA;FUSAGASUGA;PARTICULAR
GKB401;GKB900;CUNDINAMARCA;CHIA;PARTICULAR
GKB901;GKC300;CUNDINAMARCA;CAQUEZA;PARTICULAR
GKE000;GKG200;CUNDINAMARCA;VILLETA;PARTICULAR
GKJ000;GKJ999;CUNDINAMARCA;CAQUEZA;PARTICULAR
GLA000;GLG300;CUNDINAMARCA;FUSAGASUGA;PARTICULAR
GLJ000;GLJ999;CUNDINAMARCA;FUSAGASUGA;PARTICULAR
GMA000;GMG900;CUNDINAMARCA;GIRARDOT;PARTICULAR
GMJ000;GMJ999;CUNDINAMARCA;GIRARDOT;PARTICULAR
GMK000;GMM999;TOLIMA;GUAMO;PARTICULAR
